tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0011,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 24.62 Gflop/s, 65.64 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0011,reconstruct=8,Xpay,dagger	128	1	1	864	1	1	6145	# 24.68 Gflop/s, 65.80 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_z,Dslash,comm=0011,reconstruct=8	128	1	1	864	1	1	7022	# 11.59 Gflop/s, 26.15 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_z,Dslash,comm=0011,reconstruct=8,dagger	128	1	1	864	1	1	6145	# 11.61 Gflop/s, 26.19 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_z,DslashCloverTwist,comm=0011,reconstruct=8,Xpay	128	1	1	864	1	1	16385	# 18.93 Gflop/s, 50.47 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_z,DslashCloverTwist,comm=0011,reconstruct=8,Xpay,dagger	256	1	1	432	1	1	24577	# 18.43 Gflop/s, 49.14 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,Dslash,comm=0011,ghost=0011,reconstruct=8	64	1	1	1728	1	1	0	# 93.70 Gflop/s, 127.25 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,Dslash,comm=0011,ghost=0011,reconstruct=8,dagger	64	1	1	1728	1	1	0	# 117.52 Gflop/s, 159.59 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,DslashCloverTwist,comm=0011,ghost=0011,reconstruct=8,Xpay	32	1	1	3456	1	1	0	# 105.47 Gflop/s, 135.09 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=interior,DslashCloverTwist,comm=0011,ghost=0011,reconstruct=8,Xpay,dagger	32	1	1	3456	1	1	0	# 104.48 Gflop/s, 133.82 GB/s, tuned Mon Dec 28 19:40:39 2015
